# Distribution of numbers of clusters from DendrimerClusterAnalyzer
# numOfClusters    frequency
0 0
1 0
2 0
3 0
4 0
5 0
6 0
7 0
8 0
9 0
10 0
11 0
12 0
13 0
14 0
15 0
16 0
17 0
18 0
19 0
20 0
21 0
22 0
23 0
24 0
25 0
26 0
27 0
28 0
29 0
30 0.00319489
31 0.00958466
32 0.00319489
33 0.00638978
34 0.0159744
35 0.0127796
36 0.0351438
37 0.0383387
38 0.0607029
39 0.057508
40 0.115016
41 0.0894569
42 0.0894569
43 0.0926518
44 0.0958466
45 0.0607029
46 0.0447284
47 0.0638978
48 0.0351438
49 0.0255591
50 0.0191693
51 0.0127796
52 0.00958466
53 0
54 0
55 0.00319489
